Link Produs,Pret (lei)
https://www.emag.ro/laptop-asus-zenbook-ux433fa-cu-procesor-intelr-coretm-i7-8565u-pana-la-4-6-ghz-14-full-hd-8gb-512gb-ssd-m-2-intel-uhd-graphics-620-free-dos-silver-ux433fa-new-a5234/pd/DJTFC5BBM/,4199
https://www.emag.ro/laptop-asus-a542uf-cu-procesor-intelr-coretm-i5-8250u-pana-la-3-40-ghz-kaby-lake-r-15-6-full-hd-8gb-1tb-dvd-rw-nvidia-geforce-mx130-2gb-endless-os-matt-dark-grey-a542uf-dm544/pd/DT6NS4BBM/,2499
https://www.emag.ro/laptop-lenovo-ideapad-330-15ich-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-15-6-full-hd-4gb-1tb-nvidia-geforce-gtx-1050-4gb-free-dos-platinum-grey-81fk0085rm/pd/DRWDFVBBM/,2699
https://www.emag.ro/laptop-dell-inspiron-3584-cu-procesor-intel-core-i3-7020u-2-3-ghz-15-6-full-hd-4gb-1tb-hdd-intel-hd-graphics-620-ubuntu-black-di3584i341umaubu/pd/DVY4N6BBM/,1499
https://www.emag.ro/laptop-gaming-asus-tuf-fx505dt-cu-procesor-amd-ryzen-5-3550h-pana-la-3-70ghz-15-6-full-hd-antiglare-8gb-1tb-hdd-nvidiar-geforce-gtx-1650-4gb-gddr5-free-dos-black-fx505dt-bq094/pd/DL1V55BBM/,3299
https://www.emag.ro/laptop-ultraportabil-asus-zenbook-pro-duo-ux581gv-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-5-ghz-15-6-4k-16gb-512gb-ssd-m-2-nvidia-geforce-rtx-2060-6gb-windows-10-pro-celestial-blue-ux581gv-h2004r/pd/D3NB26BBM/,12499
https://www.emag.ro/laptop-gaming-asus-tuf-fx705dd-cu-procesor-amd-ryzen-7-3750h-pana-la-4-0ghz-17-3-full-hd-antiglare-8gb-256gb-ssd-m-2-nvidiar-geforce-gtx-1050-3gb-gddr5-free-dos-black-fx705dd-au005/pd/DC1V55BBM/,3399
https://www.emag.ro/laptop-lenovo-ideapad-l340-15iwl-cu-procesor-intelr-core-i5-8265u-pana-la-3-90-ghz-15-6-full-hd-8gb-512gb-ssd-m-2-dvd-rw-intel-uhd-graphics-620-free-dos-abyss-blue-81lg00jbrm/pd/DFD3H5BBM/,2499
https://www.emag.ro/laptop-ultraportabil-lenovo-ideapad-530s-14ikb-cu-procesor-intelr-coretm-i5-8250u-pana-la-3-40-ghz-kaby-lake-r-14-wqhd-ips-8gb-512gb-m-2-ssd-intelr-uhd-graphics-620-fpr-free-dos-copper-81eu00byrm/pd/DSCPVSBBM/,3399
https://www.emag.ro/laptop-gaming-lenovo-legion-y540-15irh-cu-procesor-intelr-core-i5-9300h-pana-la-4-10-ghz-15-6-full-hd-ips-8gb-512gb-ssd-m-2-nvidia-geforce-gtx-1660-ti-6gb-gddr6-free-dos-black-81sx0070rm/pd/D6D3H5BBM/,4499
https://www.emag.ro/laptop-ultraportabil-asus-zenbook-ux433fa-cu-procesorintelr-coretm-i5-8265u-pana-la-3-9-ghz-14-full-hd-8gb-512gb-ssd-m-2-intel-uhd-graphics-620-endless-os-royal-blue-metal-ux433fa-new-a5307/pd/DLNB26BBM/,3599
https://www.emag.ro/laptop-hp-15-da0167nq-cu-procesor-intelr-coretm-i5-7200u-pana-la-3-10-ghz-kaby-lake-15-6-full-hd-8gb-1tb-hdd-dvd-rw-geforce-mx110-2gb-free-dos-black-5qz67ea/pd/DM4FN5BBM/,2299
https://www.emag.ro/laptop-asus-x509fl-cu-procesor-intelr-coretm-i7-8565u-pana-la-4-6-ghz-15-6-full-hd-8gb-256gb-ssd-m-2-nvidia-geforce-mx250-2gb-free-dos-slate-gray-x509fl-ej066/pd/DVGC05BBM/,3099
https://www.emag.ro/laptop-lenovo-ideapad-330-17ich-cu-procesor-intelr-coretm-i7-8750h-pana-la-4-10-ghz-coffee-lake-17-3-full-hd-ips-8gb-1tb-nvidia-geforce-gtx-1050-4gb-free-dos-onyx-black-81fl004grm/pd/DM0L44BBM/,3799
https://www.emag.ro/laptop-asus-x403fa-cu-procesor-intelr-coretm-i7-8565u-pana-la-4-6ghz-14-full-hd-8gb-512gb-ssd-m-2-intel-uhd-graphics-620-windows-10-silver-blue-x403fa-eb164t/pd/D4X895BBM/,3999
https://www.emag.ro/laptop-gaming-lenovo-legion-y530-15ich-cu-procesor-intelr-coretm-i5-8300h-pana-la-4-00-ghz-coffee-lake-15-6-full-hd-ips-8gb-512gb-ssd-nvidia-geforce-gtx-1050-ti-4gb-free-dos-black-81fv011drm/pd/DD7D8CBBM/,3749
https://www.emag.ro/laptop-gaming-omen-x-2s-by-hp-15-dg0003nq-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-50ghz-15-6-full-hd-144hz-ips-32gb-512gb-ssd-m-2-32gb-3d-xpoint-nvidia-geforce-rtx-2080-8gb-gddr6-microsoft-window/pd/D4V3R5BBM/,15999
https://www.emag.ro/laptop-asus-x509fb-cu-procesor-intelr-coretm-i3-8145u-pana-la-3-90-ghz-whiskey-lake-15-6-full-hd-4gb-256gb-ssd-nvidia-geforce-mx110-2gb-endless-os-slate-gray-x509fb-ej021/pd/DKB825BBM/,1999
https://www.emag.ro/laptop-asus-x509fb-cu-procesor-intelr-coretm-i3-8145u-pana-la-3-90-ghz-whiskey-lake-15-6-full-hd-4gb-256gb-ssd-nvidia-geforce-mx110-2gb-endless-os-slate-gray-x509fb-ej021/pd/DKB825BBM/,1999
https://www.emag.ro/laptop-gaming-hp-pavilion-15-dk0011nq-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-50-ghz-coffee-lake-15-6-full-hd-ips-8gb-1tb-256gb-ssd-nvidia-geforce-gtx-1660ti-6gb-free-dos-shadow-black-7sf55ea/pd/DL8PW5BBM/,4999
https://www.emag.ro/laptop-gaming-asus-rog-strix-scar-iii-g531gw-cu-procesor-intelr-coretm-i7-9750h-pana-la-4-50ghz-15-6-full-hd-144hz-antiglare-16gb-1tb-hdd-512gb-ssd-m-2-nvidiar-geforce-rtxtm-2070-8gb-gddr6-free-dos-gu/pd/DP1V55BBM/,8399
https://www.emag.ro/laptop-lenovo-ideapad-330-15arr-cu-procesor-amd-ryzentm-5-2500u-2ghz-15-6-hd-4gb-1tb-radeontm-vega-8-graphics-free-dos-platinum-grey-81d2008krm/pd/DZ6G0SBBM/,1599
https://www.emag.ro/laptop-apple-macbook-pro-13-cu-procesor-intelr-dual-coretm-i5-2-30ghz-13-3-ecran-retina-8gb-128gb-ssd-intelr-iris-plus-graphics-640-macos-sierra-rom-kb-space-grey-mpxq2ro-a/pd/DNY74KBBM/,7299
